flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: Other literature,obs: USGS value 1,obs: USGS value 2,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_mass_balance
85,2xxx,rolling,69.70403094933482,26.70691900778278,146.02337808183682,119.31645907405405,1.7117583796664586,,122.0,,1,structure-determined,,,,,0.000301368192312,0.999698631807688
86,2xxx,extrusion,68.55566111727222,24.087549530161034,142.67484565687278,118.58729612671175,1.7297958212940978,,108.0,,1,structure-determined,,,,,0.0003838669448328,0.9996161330551672
87,2xxx,drawing,2.8623485603700187,0.77115590905372,5.171850685924438,4.4006947768707185,1.5374419586068289,,3.0,,1,structure-determined,,,,,0.3033891299834628,0.6966108700165372
88,2xxx,other_milling_processes,5.914128194932125,1.5478963683310227,10.45314437838116,8.905248010050137,1.5057583664962033,,6.0,,1,structure-determined,,,,,0.0971016076944568,0.9028983923055433
89,3xxx,rolling,1411.4682766400715,553.4355695642182,2494.241870363107,1940.8063007988887,1.3750265116966565,,2417.0,,1,structure-determined,,,,,0.0001006908216561,0.999899309178344
90,3xxx,extrusion,354.0167531863121,93.36129087268947,624.1517293417932,530.7904384691037,1.499337061570527,,358.0,,1,structure-determined,,,,,0.0037253704883967,0.9962746295116032
91,3xxx,drawing,28.314267722718863,11.934229203607208,73.22864325332488,61.294414049717666,2.1647889555178614,,56.0,,1,structure-determined,,,,,0.0093047472285037,0.9906952527714964
92,3xxx,other_milling_processes,18.269241903177228,4.710489552965295,31.34836856993885,26.637879016973553,1.4580724891677592,,18.0,,1,structure-determined,,,,,0.0767623348742298,0.9232376651257702
93,4xxx,rolling,21.28418685792922,5.8054859134381855,41.130064746562454,35.32457883312427,1.6596630667130436,,24.0,,1,structure-determined,,,,,0.0023220163553928,0.9976779836446072
94,4xxx,other_milling_processes,61.773551633792124,22.061583589640993,102.85667672816837,80.79509313852738,1.3079237149500378,,93.0,,1,structure-determined,,,,,0.0001479514452766,0.9998520485547232
95,5xxx,rolling,2138.5056385815024,761.4772745026007,3677.2010615499826,2915.723787047382,1.3634398406269426,,2472.0,,1,structure-determined,,,,,0.0001640615476417,0.9998359384523584
96,5xxx,extrusion,169.56687560535113,43.643577266515805,294.9020564410171,251.2584791745013,1.4817662841136419,,169.0,,1,structure-determined,,,,,0.0246730102207795,0.9753269897792204
97,5xxx,drawing,35.92515992073224,20.018638032537453,89.1269261882404,69.10828815570295,1.9236737792730292,,97.0,,1,structure-determined,,,,,0.0031863408861611,0.9968136591138388
98,5xxx,other_milling_processes,23.89245930394113,6.0208080518274025,40.193136889926805,34.1723288380994,1.430255814329778,,23.0,,1,structure-determined,,,,,0.0493452288187997,0.9506547711812002
99,6xxx,rolling,929.0911483535558,252.3051761060583,1722.2669763826784,1469.9618002766201,1.5821502582190587,,1007.0,,1,structure-determined,,,,,0.0015425808747867,0.9984574191252132
100,6xxx,extrusion,2161.0827677585203,1439.0576659441738,2884.3993055392393,1445.3416395950655,0.668804388780619,,2087.0,,1,structure-determined,,,,,0.0002239285257317,0.9997760714742684
101,6xxx,drawing,41.258563890952516,24.507835255754905,97.84306624874571,73.3352309929908,1.777454765192937,,119.0,,1,structure-determined,,,,,0.0021424519178745,0.9978575480821256
102,6xxx,other_milling_processes,6.024370929736069,1.5619595599758127,10.465585028318673,8.90362546834286,1.477934471862431,,6.0,,1,structure-determined,,,,,0.4351341654806216,0.5648658345193784
103,7xxx,rolling,153.07223299398825,68.13930815479821,336.5338326589974,268.39452450419924,1.753384786088148,,322.0,,1,structure-determined,,,,,0.0004885715161155,0.9995114284838844
104,7xxx,extrusion,146.57023484207596,59.98101721141126,325.43925172278927,265.458234511378,1.8111333095522395,,278.0,,1,structure-determined,,,,,0.0006427657352081,0.999357234264792
105,7xxx,drawing,2.9063749533686263,0.7587192429459049,5.173472455372198,4.414753212426293,1.5189895602800267,,3.0,,1,observation-driven,,,,,0.6812714910890281,0.318728508910972
106,7xxx,other_milling_processes,173.7678677606582,69.5412807179015,327.9308668689022,258.38958615100074,1.4869813935157308,,284.0,,1,structure-determined,,,,,0.000224751873946,0.999775248126054
107,8xxx,rolling,7.053692462770905,1.861713636070308,12.19874394870613,10.337030312635823,1.4654778851210537,,7.0,,1,structure-determined,,,,,0.0267070950907902,0.9732929049092098
108,8xxx,extrusion,36.76880884464084,9.665994918183593,61.32122213411163,51.655227215928036,1.4048653964882776,,35.0,,1,structure-determined,,,,,0.0010958248149804,0.9989041751850196
109,8xxx,drawing,28.61588315046222,10.7547206760318,69.15865304712665,58.40393237109485,2.0409620791365115,,49.0,,1,structure-determined,,,,,0.000536436158847,0.999463563841153
110,8xxx,other_milling_processes,3.005118161486176,0.7635670166811649,5.227607170395299,4.464040153714134,1.485479077304052,,3.0,,1,structure-determined,,,,,0.124805834573466,0.8751941654265339
