flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: observation_2022,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations
36,fabrication_scrap_generated,fabrication_scrap_recycled,882.8905320534045,767.8237755284683,997.5477236643371,229.7239481358688,0.26019527879813437,,0,structure-determined,918.0766919992568,74.40871011263857,0.3846123910258191,-0.4830273185306799,0.0,0.3979184425812478,0.6018217501799269,0.0002598072388252,0.0
37,fabrication_scrap_recycled,remelting,887.5291565531279,772.1840344473266,1000.9194650585182,228.73543061119165,0.25772159587356547,,0,structure-determined,918.606914368421,75.2844672017521,0.3909360936896743,-0.425050135262371,0.0,0.3980701366314769,0.6019297875689493,7.579957376857986e-08,0.0
38,fabrication_scrap_recycled,refining,0.6408234221211632,0.09483447533758901,1.306396022504294,1.2115615471667052,1.8906324353070074,,0,prior-informed,0.4619538074389556,0.3459404447529561,0.1664284341051445,0.556543470758296,0.0,0.997799457668839,0.0015213813266352,0.0006791610045256,0.0
39,wrought_aluminum_ingot,1xxx,1411.4709487786668,909.7827355284469,1919.4311810542379,1009.648445525791,0.715316490501934,,0,structure-determined,1508.989670337309,555.7608007330019,0.7859246985775403,-0.1803597399655643,0.0,0.4048019017654169,0.5943490401940925,0.0008490580404904,0.0
40,wrought_aluminum_ingot,2xxx,155.1048894286779,86.36650199104051,225.1622353692385,138.79573337819798,0.8948507934820497,,0,structure-determined,155.71878993688455,40.46565115472585,0.2317438329763113,-0.0060491808807802,0.0,0.3806100656006809,0.6193419590144806,4.797538483849912e-05,0.0
41,wrought_aluminum_ingot,3xxx,1629.6386598022664,997.3599794297057,2234.482765376031,1237.1227859463252,0.7591393211648726,,0,structure-determined,1842.633515352603,662.6121161940779,0.7744605855342994,-0.3270865863900072,0.0,0.3567328967496299,0.6425535098041327,0.0007135934462373,0.0
42,wrought_aluminum_ingot,4xxx,93.09610054499342,46.589432722924485,141.22434871668105,94.63491599375656,1.0165293222783207,,0,structure-determined,83.62759336576694,26.436440413143277,0.1781739219143808,0.3578754820943599,0.0,0.4692085302470268,0.5307729112049231,1.8558548050120637e-05,0.0
43,wrought_aluminum_ingot,5xxx,2089.234213976455,1385.0790354993148,2794.8537387199726,1409.7747032206578,0.6747805936690185,,0,structure-determined,2383.648025987616,920.9439327571614,0.8459338221376674,-0.3227639430309297,0.0,0.1048326146099671,0.8949409304170028,0.00022645497303,0.0
44,wrought_aluminum_ingot,6xxx,2773.76914210198,2192.5783199975617,3387.246464583478,1194.6681445859163,0.4307020820343358,,0,structure-determined,3154.510914914654,659.2252480115873,0.7881648659844751,-0.5737518982189993,0.0,0.4044729602155839,0.5938648338964503,0.0016622058879659,0.0
45,wrought_aluminum_ingot,7xxx,484.5658166287528,338.1206148302549,631.1104155391916,292.98980070893674,0.6046439733354305,,0,structure-determined,507.847912767252,93.67046507857084,0.353374330189928,-0.2545170188039827,0.0,0.4144451517897641,0.5849996358792917,0.0005552123309442,0.0
46,wrought_aluminum_ingot,8xxx,69.71076233745512,30.231926300749176,111.41817506697285,81.18624876622367,1.164615707015484,,0,structure-determined,78.0862416499044,25.968685253849458,0.3741958633438108,-0.3134081067647727,0.0,0.3715289944411893,0.6284564032257355,1.4602333075290002e-05,0.0
47,cast_aluminum_ingot,36x,131.22938332097306,108.0953030125653,154.13405008517708,46.038747072611784,0.3508265139066144,,0,structure-determined,142.6776795698547,12.424244843614217,0.0867191071301179,-0.9244698102390614,0.0,0.3776606768210783,0.6218343486599612,0.0005049745189604,0.0
48,cast_aluminum_ingot,38x,1189.4986329156918,1063.4532848403232,1313.897759113714,250.44447427339082,0.21054624809404182,,0,structure-determined,1303.0434011914997,117.5240631338045,0.7064094663380508,-0.9730136482252648,0.0,0.3669789035773454,0.6241998648861015,0.008821231536553,0.0
49,cast_aluminum_ingot,2xx,5.935025569933336,5.119983645554525,6.726737012330939,1.606753366776414,0.2707239164926566,,0,structure-determined,5.7820798815133125,0.4246727941735002,0.0718513442222269,0.3444159146619378,0.0,0.4142928508250567,0.5857061255397321,1.0236352111127193e-06,0.0
50,cast_aluminum_ingot,3xx,546.4430904986757,486.1183355202636,607.1698289878227,121.05149346755911,0.22152625876756782,,0,structure-determined,554.7399813945599,41.29863189437014,0.4367056320579567,-0.1974960934568204,0.0,0.4233018421291338,0.5706261609581927,0.0060719969126734,0.0
51,cast_aluminum_ingot,4xx,7.9601289461781715,6.894520519860845,9.064314830347815,2.16979431048697,0.27258280929340156,,0,structure-determined,7.857393351354816,0.5729191641777728,0.07829178878511,0.1832723222418859,0.0,0.4114332681126447,0.5885649276920522,1.804195303229401e-06,0.0
52,cast_aluminum_ingot,5xx,44.768465336650806,38.59380353612482,50.9295194795611,12.335715943436284,0.2755447579155086,,0,structure-determined,44.68552686275864,3.27154981268914,0.0613420561972479,0.0290734064567959,0.0,0.4077677421773372,0.5921760445107759,5.621331188689415e-05,0.0
53,cast_aluminum_ingot,7xx,8.099244851836506,6.940910305508961,9.236392496173359,2.295482190664398,0.2834192857058639,,0,structure-determined,7.996742155764201,0.5911222057994315,0.0483584575421411,0.1687816047678672,0.0,0.4240895678582396,0.5759085179390911,1.9142026691015034e-06,0.0
