node,flow_idx,share_mean,share_sd,n_out,source_year
50,139,0.00022722158491002918,0.00014611700009913787,10,2017
50,140,0.007985929301186382,0.00046548812252238965,10,2017
51,141,0.2329921762118841,0.061937451092046576,4,2017
51,142,0.6509328126375408,0.05521916048470036,4,2017
51,143,0.062056559932167035,0.00814540984965108,4,2017
51,144,0.05401845121840815,0.02032461108206511,4,2017
53,146,0.21647787211930872,0.06853089865725749,3,2017
53,147,0.7406396479468872,0.06706734377096553,3,2017
53,148,0.04288247993380415,0.02238978586999244,3,2017
55,150,0.4042810990088436,0.046567121896290996,3,2017
55,151,0.4825587241219281,0.053330863961200375,3,2017
55,152,0.11316017686922829,0.032808070290149156,3,2017
57,154,0.46295421408280085,0.10336730451327206,4,2017
57,155,0.41979700585913976,0.0819966344200901,4,2017
57,156,0.11601458136761174,0.02638013166061303,4,2017
57,157,0.0012341986904476818,0.0008553732738218453,4,2017
59,159,0.17868126505084814,0.013372501812325643,9,2017
59,160,0.053815476112233654,0.024619505071749502,9,2017
59,161,0.17562558061818698,0.01758554846457998,9,2017
59,162,0.1235942076949392,0.012547501254829948,9,2017
59,163,0.06071658873806726,0.006497852309650651,9,2017
59,164,0.03266832438680877,0.003513197676674429,9,2017
59,165,0.05970592345859981,0.006330147945205567,9,2017
59,166,0.308056501337624,0.02648830111143269,9,2017
59,167,0.0071361326026921695,0.000772464276211186,9,2017
61,169,0.04840462438433335,0.005555682007158181,9,2017
61,170,0.025784008123089307,0.011037774626144603,9,2017
61,171,0.05596294974571438,0.006422542741724396,9,2017
61,172,0.017199156687030735,0.002019231522614701,9,2017
61,173,0.004673581062210925,0.0005574722746134296,9,2017
61,174,0.007805706687854831,0.00092503080639044,9,2017
61,175,0.209714367423618,0.02127442102588159,9,2017
61,176,0.628896464387637,0.028657344158435356,9,2017
61,177,0.0015591414985114968,0.00018246166054099403,9,2017
63,179,0.04329548880556244,0.004426518615500038,8,2017
63,180,0.34698824344614276,0.025995651291470814,8,2017
63,181,0.11533428955466533,0.011331862557735375,8,2017
63,182,0.18179904285318194,0.01711396445066566,8,2017
63,183,0.09704782846401526,0.009795055880812574,8,2017
63,184,0.09922310251624875,0.009920991377904715,8,2017
63,185,0.10005673135297916,0.010036550113534102,8,2017
63,186,0.016255273007204418,0.001719661675110105,8,2017
65,188,0.03270387475578298,0.012153610583641311,6,2017
65,189,0.023514526851137085,0.0026819148171322495,6,2017
65,190,0.016535927668069637,0.0018533206113253613,6,2017
65,191,0.898470045390139,0.013460513087667013,6,2017
65,192,0.01918893516902405,0.0022270266349217545,6,2017
65,193,0.009586690165847369,0.0011084143725650952,6,2017
66,194,0.22837146886490575,0.022443200702293543,7,2017
66,195,0.6358259956470321,0.02732402989248518,7,2017
66,196,0.031470706726115565,0.0035808489116275046,7,2017
66,197,0.0031511309773268347,0.0003786152663974233,7,2017
66,198,0.06916403894432076,0.007736270932920562,7,2017
66,199,0.0005371013540590972,0.0004071648119648996,7,2017
66,200,0.03147955748623993,0.0036196345660053377,7,2017
68,202,0.07420146856609464,0.0038780006988754553,8,2017
68,203,0.2384581243571232,0.010346712900069827,8,2017
68,204,0.08201316136588155,0.0042462489422955,8,2017
68,205,0.08772216382230064,0.004533401042619284,8,2017
68,206,0.1876610389644792,0.008550942698765463,8,2017
68,207,0.32964793779787954,0.01229104138803986,8,2017
68,208,0.00014751369930866303,9.670392257184914e-05,8,2017
68,209,0.00014859142693255024,9.65567208702319e-05,8,2017
69,210,0.040865252399138324,0.017772973672370188,2,2017
69,211,0.9591347476008616,0.017772973672370188,2,2017
70,212,0.23512699719306532,0.10002040903930155,2,2017
70,213,0.7648730028069347,0.10002040903930155,2,2017
71,214,0.14160504686838019,0.05999426895812241,2,2017
71,215,0.8583949531316197,0.059994268958122404,2,2017
72,216,0.15647868512447308,0.06810715256855729,2,2017
72,217,0.843521314875527,0.06810715256855729,2,2017
73,218,0.18488096352556038,0.0774465669539712,2,2017
73,219,0.8151190364744395,0.0774465669539712,2,2017
74,220,0.13174312203025562,0.0488762092436662,2,2017
74,221,0.8682568779697445,0.0488762092436662,2,2017
75,222,0.00023489741641753711,0.00015161754309673753,2,2017
75,223,0.9997651025835824,0.000151617543096737,2,2017
76,224,0.0014964854558260096,0.0010050846355580709,2,2017
76,225,0.998503514544174,0.0010050846355580691,2,2017
