flow_idx,flow_label,total_precision,share_observations,share_prior,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
94,4xxx -> other_milling_processes,1.0244445893608225,0.0,0.9990919863879335,0.0009080136120663677,0.0,0,,,,,prior-informed,68.03139146157113,20.40778491532444,61.69219170836863,27.185085270905283,0.436452746268182,0.23318667902016849
95,5xxx -> rolling,0.0013470066811164948,0.0,0.9933164318343413,0.006683568165658636,0.0,0,,,,,prior-informed,1803.343590989914,327.95599603626766,2155.826938036029,918.2391508862852,0.872438522913664,-0.3838687848431399
96,5xxx -> extrusion,0.002675208362353243,0.0,0.7241818171409944,0.27581818285900567,0.0,0,,,,,prior-informed,159.01941493026214,41.21326859062859,169.67020519386622,88.01574405690715,0.7807430394344574,-0.12101005766329422
97,5xxx -> drawing,0.04922000853973789,0.0,0.9410903821307092,0.05890961786929086,0.0,0,,,,,prior-informed,47.34759188883814,15.060757434239951,41.014116396421045,23.113374611185677,0.5754127862752361,0.27401777537720606
98,5xxx -> other_milling_processes,0.05854136122413224,0.0,0.9497200885643167,0.050279911435683305,0.0,0,,,,,prior-informed,29.528773968159623,10.013391912187359,23.591596099263427,11.894540237055029,0.29129236916932366,0.49915152251115363
99,6xxx -> rolling,0.0008665655674385615,0.0,0.9888844024620099,0.011115597537990117,0.0,0,,,,,prior-informed,897.6408477068594,217.18434873241839,948.233008182235,505.81932179999984,0.8156402036053928,-0.1000202212429119
100,6xxx -> extrusion,0.0013674774685343528,0.0,0.9986646632954728,0.0013353367045272299,0.0,0,,,,,prior-informed,1820.2051360426744,216.90860370911878,2164.6937573382174,454.0673027050395,0.7718013355895796,-0.7586730408538612
101,6xxx -> drawing,0.046078147447608325,0.0,0.994564206698123,0.005435793301877025,0.0,0,,,,,prior-informed,45.430935389405256,20.332719068465376,46.605596953072364,24.47051441660587,0.3095937375792033,-0.04800314139983809
102,6xxx -> other_milling_processes,0.15469518949212663,0.0,0.9983378875986657,0.0016621124013342452,0.0,0,,,,,prior-informed,5.584324888602603,2.8135349048903033,6.031554657321702,3.0818315795653892,0.16653606393749865,-0.1451181731294249
103,7xxx -> rolling,0.026690390345737936,0.0,0.9943333288377256,0.005666671162274343,0.0,0,,,,,prior-informed,176.09614520225955,53.13193895863982,166.20239953828624,90.45996225757817,0.6550163398061903,0.10937154313420543
104,7xxx -> extrusion,0.02698303394221055,0.0,0.9941911722603565,0.005808827739643566,0.0,0,,,,,prior-informed,143.69035955158327,51.09038873434619,159.4537383905876,89.84810522787691,0.6766591553079436,-0.17544475533484566
105,7xxx -> drawing,0.5109470941364248,0.0,0.981884771013331,0.018115228986669046,0.0,0,,,,,prior-informed,2.022664516271739,1.232964713622072,2.9183130016361947,1.5533197864289077,0.3699434272258648,-0.5766027660173939
106,7xxx -> other_milling_processes,0.07293083509096625,0.0,0.9980431082773226,0.0019568917226775217,0.0,0,,,,,prior-informed,160.15678776474644,41.003260138681064,179.85855277886935,83.60105794499903,0.7594456413465561,-0.23566406333140744
107,8xxx -> rolling,1.1137352916506105,0.0,0.9436420646401418,0.056357935359858315,0.0,0,,,,,prior-informed,6.058403061857904,2.699413688179839,7.051514547312161,3.6030395299162974,0.43869250959796013,-0.2756315819486244
108,8xxx -> extrusion,0.9949390957964902,0.0,0.9952880909959887,0.004711909004011305,0.0,0,,,,,prior-informed,31.53891511943079,12.293717120582619,36.44309442588579,17.998314763757165,0.5334451095572108,-0.27247991663810905
109,8xxx -> drawing,1.0317001228615732,0.0,0.9944342102800868,0.005565789719913199,0.0,0,,,,,prior-informed,29.670917550407502,11.645853068326208,31.597044001232373,19.760822485271333,0.6526777712157661,-0.09747197781167778
110,8xxx -> other_milling_processes,1.7574072418798004,0.0,0.8163205257158491,0.18367947428415085,0.0,0,,,,,prior-informed,2.9938058186269614,1.199147043287182,2.9982590054662337,1.5666693673619967,0.4141449495568179,-0.0028424547846816724
111,die_cast -> building_construction,0.01795284652647821,0.0,0.9410286895997746,0.058971310400225345,0.0,0,,,,,prior-informed,19.522796135134517,8.646629667345621,19.164687332093724,9.917587646409176,0.23988093953752287,0.036108458609937444
112,die_cast -> transportation_auto,0.0023028372118105355,0.0,0.9870697378446301,0.0129302621553698,0.0,0,,,,,prior-informed,880.6198955650767,74.45512297316334,1006.8743635669667,156.2998170709674,0.7730802841529678,-0.8077710541693379
113,die_cast -> transportation_other,0.004782227362825979,0.0,0.9319275878639537,0.0680724121360464,0.0,0,,,,,prior-informed,149.3979555923081,42.23721102543133,152.8585076937074,79.28950191671427,0.7162348303315815,-0.043644518098174614
114,die_cast -> machine_industry,0.015600951546175912,0.0,0.9333107937557389,0.06668920624426113,0.0,0,,,,,prior-informed,47.2016618192522,15.77230525992292,36.17418283422157,18.672235839039526,0.2864938848246571,0.5905816036221333
115,die_cast -> electrical_equipment,0.0077834688955902434,0.0,0.8678061920343025,0.13219380796569746,0.0,0,,,,,prior-informed,54.84864281861234,18.635512313440834,46.857791803824334,24.383638156483244,0.41590207529039347,0.3277136481236439
116,die_cast -> consumer_durables,0.00519810661458002,0.0,0.8365409469882025,0.16345905301179747,0.0,0,,,,,prior-informed,85.80859661797429,26.8475624638879,92.77938935757578,49.24441700555914,0.7027678914310174,-0.14155498558982976
117,die_cast -> other_end_uses,0.08785411881020241,0.0,0.9886239222691475,0.011376077730852472,0.0,0,,,,,prior-informed,49.56466641706714,22.32242935995611,74.40502807958862,38.06082577865554,0.6560252993788933,-0.6526490467385477
118,sand_cast -> transportation_auto,0.029475644979345756,0.0,0.992371620873678,0.007628379126322021,0.0,0,,,,,prior-informed,197.84073274592694,21.586606758079498,207.16713765837156,34.90821705489042,0.6176039260142345,-0.26716932857898695
119,sand_cast -> transportation_other,0.03527664657912939,0.0,0.9490614387505449,0.050938561249455075,0.0,0,,,,,prior-informed,43.24188032671637,14.85340435078628,41.59883173190962,21.792989092946403,0.5354650388154099,0.07539344822315104
120,sand_cast -> machine_industry,0.1527150248893997,0.0,0.9466466092615602,0.05335339073843985,0.0,0,,,,,prior-informed,8.69078018436922,2.8923943157282253,5.95894410137715,3.1263564191760183,0.1440704453148478,0.8738082664650477
121,sand_cast -> electrical_equipment,0.09824890886064937,0.0,0.9177648634575909,0.08223513654240917,0.0,0,,,,,prior-informed,9.34068441657354,3.777621379164173,7.9578239401207105,4.155335679169663,0.17353469012867306,0.3327915199209991
122,sand_cast -> consumer_durables,0.05266525973632883,0.0,0.8517074369629709,0.14829256303702903,0.0,0,,,,,prior-informed,20.349850865684207,6.486535021142494,15.819072258092591,8.3281666774584,0.39336604189294233,0.5440307312598509
123,sand_cast -> other_end_uses,0.13651695146257908,0.0,0.9426160919427694,0.05738390805723071,0.0,0,,,,,prior-informed,12.85360179675192,5.857203544926692,15.102773788863784,7.699445830572603,0.4212890533099608,-0.29212128270075693
124,permanent_semi_permanent_mold_cast -> transportation_auto,0.012138869799398487,0.0,0.9870694674173869,0.012930532582613051,0.0,0,,,,,prior-informed,364.3383660461135,33.34895772818328,389.42404000456395,66.27419647582101,0.7467930694711202,-0.37851343799547277
125,permanent_semi_permanent_mold_cast -> transportation_other,0.01615019346724647,0.0,0.9216734681348494,0.07832653186515055,0.0,0,,,,,prior-informed,82.44898564735625,20.384499711661107,69.90871033849609,36.578509122729535,0.6894381439277046,0.342831777719113
