node,n_out,n_observed,status,quality_index,total_value,total_sigma,kappa,total_map,kappa_likelihood
72,2,2,fully_observed,0.344121119220145,1696.329674932784,990.1515729735974,70.13598160558871,752.8939285296683,70.13598160558871
73,2,2,fully_observed,0.34412111922014504,1430.774041485902,756.8700593573013,70.13598160558873,1385.8176674392057,70.13598160558873
74,2,2,fully_observed,0.344121119220145,1158.180120105863,616.80319106382,70.13598160558871,1623.0473504950792,70.13598160558871
75,2,2,fully_observed,0.1945122015041698,2129.160848,1342.280287415732,40.513415897825624,1599.326567227302,40.513415897825624
76,2,2,fully_observed,0.1945122015041698,342.915552,216.18434484006076,40.513415897825624,277.41042399888164,40.513415897825624
77,1,1,fully_observed,0.3764417585031983,226.73651508614435,145.651077253025,76.53546818363326,221.59457979687275,76.53546818363326
78,1,1,fully_observed,0.29921783543195035,1402.0,1003.4717649881853,61.24513141552617,1158.298315633284,61.24513141552617
79,1,1,fully_observed,0.29921783543195046,441.0,315.64268784578434,61.24513141552619,416.89675467263487,61.24513141552619
80,1,1,fully_observed,0.29921783543195046,224.0,160.32644462008093,61.24513141552619,217.70153368302647,61.24513141552619
81,1,1,fully_observed,0.29921783543195046,287.0,205.41825716947872,61.24513141552619,276.61076395102157,61.24513141552619
82,1,1,fully_observed,0.29921783543195046,754.0,539.6702644800939,61.24513141552619,683.311458405535,61.24513141552619
83,1,1,fully_observed,0.9503776020482201,1607.9999999999998,156.20317511113905,190.17476520554757,1602.0669102878294,190.17476520554757
84,1,1,fully_observed,0.29921783543195046,247.0,176.78853491589282,61.24513141552619,239.33265500504652,61.24513141552619
