flow_idx,from_node,from_node_name,to_node_name,share_map,share_observed
205,68,import_finished_consumption,machine_industry,0.0895046111858919,0.08754086451144208
206,68,import_finished_consumption,electrical_equipment,0.1885461970777947,0.1874318924809299
207,68,import_finished_consumption,consumer_durables,0.3250899896694824,0.3309117326552851
208,68,import_finished_consumption,container_packages,1.4571245570026061e-06,0.0
209,68,import_finished_consumption,other_end_uses,1.8412566691698635e-05,0.0
210,69,building_construction,export_finished_consumption,0.0317998820605491,0.03180076282711131
211,69,building_construction,consumption_building_construction,0.9682001179394509,0.9681992371728887
212,70,transportation_auto,export_finished_consumption,0.22661814066863062,0.22662001052604083
213,70,transportation_auto,consumption_transportation_auto,0.7733818593313694,0.7733799894739591
214,71,transportation_other,export_finished_consumption,0.13366612334441993,0.13366612688628776
215,71,transportation_other,consumption_transportation_other,0.8663338766555801,0.8663338731137122
216,72,machine_industry,export_finished_consumption,0.07847285793057794,0.07840457074198742
217,72,machine_industry,consumption_machine_industry,0.9215271420694221,0.9215954292580125
218,73,electrical_equipment,export_finished_consumption,0.1887097756134902,0.1887090429174944
219,73,electrical_equipment,consumption_electrical_equipment,0.8112902243865098,0.8112909570825056
220,74,consumer_durables,export_finished_consumption,0.18046120415158415,0.18045552360275055
221,74,consumer_durables,consumption_consumer_durables,0.8195387958484158,0.8195444763972495
222,75,container_packages,export_finished_consumption,1.3435090853981772e-05,0.0
223,75,container_packages,consumption_container_packages,0.999986564909146,1.0
224,76,other_end_uses,export_finished_consumption,1.361455774585633e-05,0.0
225,76,other_end_uses,consumption_other_end_uses,0.9999863854422543,1.0
226,77,eol_scrap_building_construction,eol_scrap_generated,1.0,
227,78,eol_scrap_transportation_auto,eol_scrap_generated,1.0,
228,79,eol_scrap_transportation_other,eol_scrap_generated,1.0,
229,80,eol_scrap_machine_industry,eol_scrap_generated,1.0,
230,81,eol_scrap_electrical_equipment,eol_scrap_generated,1.0,
231,82,eol_scrap_consumer_durables,eol_scrap_generated,1.0,
232,83,eol_scrap_container_packages,eol_scrap_generated,1.0,
233,84,eol_scrap_other_end_uses,eol_scrap_generated,1.0,
