flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
87,2xxx -> drawing,1.281777868414136,0.0,0.5946012046522544,0.4053987953477455,0.0,0,,,,,prior-informed,4.550968653774731,1.53192912033389,2.8881594937787756,1.5435986617860513,0.015062763549649971,1.0772289463324423
88,2xxx -> other_milling_processes,1.0119304941488236,0.0,0.44710245886690386,0.552897541133096,0.0,0,,,,,structure-determined,9.353899570437365,3.088787691114343,5.939523285412546,3.1304869187323394,0.026463297392620877,1.0906853705708623
89,3xxx -> rolling,0.006439525618690548,0.0,0.35462345871343715,0.6453765412865629,0.0,0,,,,,structure-determined,1118.024381428959,557.377631274216,1441.149434392954,656.9325537444499,0.2801243160388134,-0.4918694485791797
90,3xxx -> extrusion,0.007885647359430092,0.0,0.35513301638114037,0.6448669836188595,0.0,0,,,,,structure-determined,371.7778628838061,173.27167516873138,354.72059240212,184.6230213177422,0.11918755818882643,0.09238972669789633
91,3xxx -> drawing,0.07879208792324327,0.0,0.6033516124713706,0.39664838752862935,0.0,0,,,,,prior-informed,56.40826393924005,20.447010817138718,32.15482952009061,20.438241449292207,-0.0008583174036698171,1.1866693364653131
92,3xxx -> other_milling_processes,0.13193782054270226,0.0,0.4609928177815918,0.5390071822184084,0.0,0,,,,,structure-determined,23.810470349671604,9.001790256683575,18.187929315325235,9.325035901293889,0.06812694543901432,0.6029511407635672
93,4xxx -> rolling,2.0917873348769755,0.0,0.470799684840039,0.529200315159961,0.0,0,,,,,structure-determined,25.79542244553323,11.484055627244338,21.941110914600124,12.22152272466358,0.11704222382576956,0.3153708108037089
94,4xxx -> other_milling_processes,2.1974484107008285,0.0,0.46577401987901385,0.5342259801209863,0.0,0,,,,,structure-determined,70.34290606699176,26.21486752204802,61.69219170836863,27.185085270905283,0.07010495084683344,0.3182154579401491
95,5xxx -> rolling,0.012464518256234444,0.0,0.1073450126702184,0.8926549873297815,0.0,0,,,,,structure-determined,1000.0725725244779,661.7436149738801,2155.826938036029,918.2391508862852,0.4806407062778286,-1.2586637853504894
96,5xxx -> extrusion,0.013993126494411534,0.0,0.1384492060336533,0.8615507939663467,0.0,0,,,,,structure-determined,193.1094857057485,84.72583125243182,169.67020519386622,88.01574405690715,0.07336020461488668,0.2663078153009474
